5.4320	0.0025	3.4420	1.6857	208.5760	5.8170	0.1068	0				
5.4250	0.0015	3.4800	2.5828	211.2750	3.8690	0.2364	0				
5.4340	0.0023	3.1120	2.8474	213.1930	4.1680	0.3205	0				
5.4210	0.0007	2.6620	2.7547	213.5530	4.9770	0.3225	0				
5.4370	0.0023	2.1750	2.4649	211.3040	0.0290	0.1939	0				
5.4260	0.0009	1.8430	2.1539	211.6050	-1.5880	0.1993	0				
5.4170	-0.0001	1.4970	1.2585	212.2040	-1.3490	0.2193	0				
5.4060	-0.0011	0.7810	-0.3678	214.6030	3.2990	0.3283	0				
5.4110	-0.0005	0.4270	-1.6914	212.8940	1.2890	0.2264	0				
5.4220	0.0006	0.0030	-2.5842	209.8950	-2.3090	0.0651	0				
5.4230	0.0007	0.0000	-2.8481	214.1530	-0.4500	0.2748	0				
5.4240	0.0007	0.0000	-2.7550	211.1550	-1.7390	0.1111	0				
5.4170	-0.0001	0.0000	-2.4650	202.6690	-7.2260	-0.3187	0				
5.4070	-0.0011	0.0000	-2.1540	195.2040	-18.9490	-0.6760	0				
5.4010	-0.0016	0.0000	-1.8255	189.0570	-22.0980	-0.9496	0				
5.3890	-0.0026	0.0000	-1.3033	185.3090	-17.3600	-1.0895	0				
5.3890	-0.0023	0.0000	-0.8651	182.9700	-12.2340	-1.1520	0				
5.3890	-0.0021	0.0000	-0.4341	181.9810	-7.0760	-1.1438	0				
5.3890	-0.0019	0.0000	-0.2170	181.5620	-3.7470	-1.1076	0				
5.3890	-0.0017	0.0000	-0.1085	178.5920	-4.3780	-1.2007	0				
5.4000	-0.0004	0.0000	-0.0543	176.7930	-5.1880	-1.2306	0				
5.4190	0.0015	0.0000	-0.0271	176.7930	-4.7690	-1.1691	0				
5.4110	0.0006	0.0000	-0.0136	176.7930	-1.7990	-1.1106	0				
5.4020	-0.0004	0.0000	-0.0068	178.5920	1.7990	-0.9652	0				
5.4070	0.0001	0.0000	-0.0034	180.5110	3.7180	-0.8210	0				
5.4020	-0.0004	0.0000	-0.0017	180.8110	4.0180	-0.7649	0				
5.3960	-0.0009	0.0000	-0.0008	181.4110	2.8190	-0.6967	0				
5.3930	-0.0011	0.0000	-0.0004	182.2800	1.7690	-0.6184	0				
5.3830	-0.0020	0.0000	-0.0002	181.4700	0.6590	-0.6280	0				
5.3670	-0.0034	0.0000	-0.0001	181.7400	0.3290	-0.5831	0				
5.3550	-0.0043	0.0000	-0.0001	181.7100	-0.5700	-0.5554	0				
5.4770	0.0083	0.0000	0.0000	169.5660	-11.9040	-1.1348	0				
5.5010	0.0099	0.0000	0.0000	167.7970	-13.9430	-1.1665	0				
5.4940	0.0082	0.0000	0.0000	166.6280	-15.0820	-1.1667	0				
5.4990	0.0079	0.0000	0.0000	166.7480	-2.8180	-1.1023	0				
5.4970	0.0069	0.0000	0.0000	167.0480	-0.7490	-1.0322	0				
5.4890	0.0054	0.0000	0.0000	166.7780	0.1500	-0.9941	0				
5.4870	0.0047	0.0000	0.0000	165.3990	-1.3490	-1.0134	0				
5.4810	0.0036	0.0000	0.0000	165.0390	-2.0090	-0.9807	0				
5.4790	0.0030	0.0000	0.0000	164.6790	-2.0990	-0.9497	0				
5.4740	0.0022	0.0000	0.0000	164.6190	-0.7800	-0.9052	0				
5.4630	0.0009	0.0000	0.0000	163.7200	-1.3190	-0.9049	0				
5.4530	-0.0002	0.0000	0.0000	165.0690	0.3900	-0.7922	0				
5.4430	-0.0012	0.0000	0.0000	165.9980	1.3790	-0.7061	0				
5.4220	-0.0031	0.0000	0.0000	165.5490	1.8290	-0.6933	0				
5.4070	-0.0043	0.0000	0.0000	166.6880	1.6190	-0.6016	0				
5.4100	-0.0036	0.0000	0.0000	164.4990	-1.4990	-0.6810	0				
5.4040	-0.0038	0.0000	0.0000	164.9490	-0.6000	-0.6245	0				
5.4140	-0.0025	0.0000	0.0000	162.7300	-3.9580	-0.7042	0				
5.3990	-0.0037	0.0000	0.0000	161.7410	-2.7580	-0.7184	0				
5.4280	-0.0004	0.0000	0.0000	159.6720	-5.2770	-0.7860	0				
5.4170	-0.0015	0.0000	0.0000	159.5230	-3.2070	-0.7541	0				
5.4020	-0.0028	0.0000	0.0000	157.0040	-4.7370	-0.8424	0				
5.4070	-0.0021	0.0000	0.0000	158.8930	-0.7790	-0.7058	0				
5.3940	-0.0032	0.0000	0.0000	166.7480	7.2250	-0.2777	0				
5.4070	-0.0015	0.0000	0.0000	173.9440	16.9400	0.0959	0				
